Reference(s),Qty,Value,Footprint,Side,Manufacturer,MPN,LCSC,Notes
"C101,C102,C106,C107,C108,C109,C112,C114,C115,C118,C119,C121,C124,C125,C126,C127,C136",17,100nF,RadianMain:C_0201_0603Metric_D,bottom,CCTC,TCC0201X5R104K100ZT,C5142565,10 V X5R. JLC extended library: one setup fee for the whole array
"C11,C21,C31,C146,C150,C151,C152,C161,C162,C166,C170,C172,C190,C195,C200",15,100nF,RadianMain:C_0603_1608Metric_Radian,top,Samsung,CL10B104KB8NNNC,C1591,50 V X7R
"R12,R22,R32,R103,R104,R105,R106,R121,R130,R143,R144,R145,R146,R169",14,10kΩ,RadianMain:R_0603_1608Metric_Radian,top,Yageo,RC0603FR-0710KL,C98220,thick film 1%
"R131,R132,R133,R140,R141,R142,R147,R148,R149,R150,R190,R191,R192",13,1kΩ,RadianMain:R_0603_1608Metric_Radian,top,Yageo,RC0603FR-071KL,,thick film 1%
"C100,C103,C104,C110,C113,C116,C120,C122,C128",9,100nF,RadianMain:C_0201_0603Metric_C,bottom,CCTC,TCC0201X5R104K100ZT,C5142565,10 V X5R. JLC extended library: one setup fee for the whole array
"C105,C123,C130,C131,C132,C133,C134,C135",8,100nF,RadianMain:C_0201_0603Metric_E,bottom,CCTC,TCC0201X5R104K100ZT,C5142565,10 V X5R. JLC extended library: one setup fee for the whole array
"C174,C175,C176,C180,C181,C182,C193,C194",8,10nF,RadianMain:C_0603_1608Metric_Radian,top,Murata,GRM1885C1H103JA01D,C85973,"50 V C0G -- ADC anti-alias, C0G for low voltage coefficient"
"R110,R114,R115,R122,R123,R124,R125",7,33Ω,RadianMain:R_0603_1608Metric_Radian,top,Yageo,RC0603FR-0733RL,,thick film 1%
"R100,R101,R102,R111,R112,R113",6,4.7kΩ,RadianMain:R_0603_1608Metric_Radian,top,Yageo,RC0603FR-074K7L,,thick film 1%
"R11,R21,R31,R166",4,100kΩ,RadianMain:R_0603_1608Metric_Radian,top,Yageo,RC0603FR-07100KL,,thick film 1%
"C10,C20,C30,C160",4,10uF,RadianMain:C_0805_2012Metric_B,top,Samsung,CL21A106KAYNNNE,C15850,"25 V X5R, JLC basic library"
"R160,R161,R163,R164",4,20kΩ,RadianMain:R_0603_1608Metric_Radian,top,Yageo,RT0603BRD0720KL,C723637,"0.1%, 25 ppm/C thin film -- matched CV divider pair"
"C111,C117,C129",3,100nF,RadianMain:C_0201_0603Metric_A,bottom,CCTC,TCC0201X5R104K100ZT,C5142565,10 V X5R. JLC extended library: one setup fee for the whole array
"C201,C202,C203",3,10nF,RadianMain:C_0603_1608Metric_Radian,bottom,Murata,GRM1885C1H103JA01D,C85973,"50 V C0G -- ADC anti-alias, C0G for low voltage coefficient"
"C191,C192,C196",3,1nF,RadianMain:C_0603_1608Metric_Radian,top,Murata,GRM1885C1H102JA01D,,"50 V C0G, same series as the 10 nF"
"C165,C171,C173",3,1uF,RadianMain:C_0603_1608Metric_Radian,top,Samsung,CL10B105KB8NQNC,C5199872,50 V X7R
"L1,L2,L3",3,1µH,RadianMain:Changjiang_FNR4030S1R0MT,top,Changjiang Electronics,FNR4030S1R0MT,C167865,"4x4 mm shielded, 18 mOhm, 5.7 A sat -- must exceed the TPS62130's 3 A plus ripple"
"C13,C23,C33",3,22uF,RadianMain:C_0805_2012Metric_B,top,Samsung,CL21A226MAQNNNE,C45783,"25 V X5R, JLC basic library -- switcher output"
"C12,C22,C32",3,22uF,RadianMain:C_0805_2012Metric_A,top,Samsung,CL21A226MAQNNNE,C45783,"25 V X5R, JLC basic library -- switcher output"
